# x	AxA	BxB	3Ax4B	4Ax3B
-8.000000000000000000e+03 1.000000060356790010e+00 9.999999929981469027e-01 9.999997254281971504e-01 1.000000053246110632e+00
-7.998399999999999636e+03 1.000000065806411209e+00 9.999999854883694361e-01 9.999996974336819999e-01 1.000000011134010380e+00
-7.996799999999999272e+03 1.000000064071002726e+00 9.999999771682233085e-01 9.999997086756319264e-01 9.999999531744406811e-01
-7.995199999999998909e+03 1.000000035084323224e+00 9.999999753182094997e-01 9.999996968241300355e-01 9.999999016648660755e-01
-7.993599999999998545e+03 9.999999563333622499e-01 9.999999491308247945e-01 9.999996816722566129e-01 9.999998863298861229e-01
-7.991999999999998181e+03 9.999998591069907405e-01 9.999999567432067415e-01 9.999996233004264656e-01 9.999998648531278622e-01
-7.990399999999997817e+03 9.999997728590127588e-01 9.999999656794876790e-01 9.999995952756005613e-01 9.999998658197364332e-01
-7.988799999999997453e+03 9.999997414220038738e-01 9.999999594212531928e-01 9.999995955155964733e-01 9.999998792676079162e-01
-7.987199999999997090e+03 9.999997327811565029e-01 9.999999416748850400e-01 9.999996448565053875e-01 9.999999098136048703e-01
-7.985599999999996726e+03 9.999997815357148934e-01 9.999999128556131822e-01 9.999996859525677184e-01 9.999999369511644032e-01
-7.983999999999996362e+03 9.999998269897507619e-01 9.999998735447526155e-01 9.999997378841819495e-01 9.999999820878882062e-01
-7.982399999999995998e+03 9.999998889732458762e-01 9.999998640581192477e-01 9.999997713903870933e-01 1.000000018556902237e+00
-7.980799999999995634e+03 9.999999176968290548e-01 9.999998788088957369e-01 9.999998015578266397e-01 1.000000025954934868e+00
-7.979199999999995271e+03 9.999999455890191680e-01 9.999998978026526375e-01 9.999998524807407474e-01 1.000000019472124357e+00
-7.977599999999994907e+03 9.999999422136837124e-01 9.999999384474356212e-01 9.999998999792100163e-01 1.000000018084965081e+00
-7.975999999999994543e+03 9.999999663963788921e-01 9.999999808820192460e-01 9.999999213861322511e-01 1.000000047048353213e+00
-7.974399999999994179e+03 1.000000014282415917e+00 9.999999916381469012e-01 9.999999236792429524e-01 1.000000098541439897e+00
-7.972799999999993815e+03 1.000000069590783136e+00 9.999999856926365949e-01 9.999999286592274883e-01 1.000000147899807512e+00
-7.971199999999993452e+03 1.000000062507974130e+00 9.999999730543374099e-01 9.999999002276600546e-01 1.000000160136087057e+00
-7.969599999999993088e+03 1.000000020705563708e+00 9.999999714807846773e-01 9.999998571299113514e-01 1.000000134805776097e+00
-7.967999999999992724e+03 9.999999654313166397e-01 9.999999609508627429e-01 9.999998795975553190e-01 1.000000086250270481e+00
-7.966399999999992360e+03 9.999999497936601367e-01 9.999999737246678677e-01 9.999999072692197233e-01 1.000000039643986538e+00
-7.964799999999991996e+03 9.999999831785844062e-01 9.999999670075528924e-01 9.999999588989062493e-01 1.000000009222748565e+00
-7.963199999999991633e+03 1.000000052272483897e+00 9.999999692213519253e-01 9.999999996638291311e-01 9.999999942489926630e-01
-7.961599999999991269e+03 1.000000115108934606e+00 9.999999588471650824e-01 1.000000011707143699e+00 9.999999989690883107e-01
-7.959999999999990905e+03 1.000000156163451281e+00 9.999999651889317498e-01 1.000000018420399650e+00 1.000000023856119302e+00
-7.958399999999990541e+03 1.000000137551278145e+00 9.999999531666082797e-01 1.000000013739882343e+00 1.000000069894318111e+00
-7.956799999999990177e+03 1.000000064977526026e+00 9.999999717712132474e-01 1.000000000228579600e+00 1.000000103441939903e+00
-7.955199999999989814e+03 9.999999775040550043e-01 9.999999851561914843e-01 9.999999926086726720e-01 1.000000113853880990e+00
-7.953599999999989450e+03 9.999998969717218689e-01 9.999999889141707454e-01 9.999999763805668129e-01 1.000000100177135032e+00
-7.951999999999989086e+03 9.999998286956245375e-01 9.999999752646715478e-01 9.999999473082472612e-01 1.000000068966067079e+00
-7.950399999999988722e+03 9.999997786762566676e-01 9.999999764771427824e-01 9.999999014896221450e-01 1.000000025865501740e+00
-7.948799999999988358e+03 9.999998044901025063e-01 9.999999896571547531e-01 9.999998969992488496e-01 9.999999815390645530e-01
-7.947199999999987995e+03 9.999998510885402814e-01 1.000000016918659140e+00 9.999998872098768699e-01 9.999999383720292734e-01
-7.945599999999987631e+03 9.999998851344508166e-01 1.000000038733063867e+00 9.999999075028442874e-01 9.999998876710299855e-01
-7.943999999999987267e+03 9.999999252986528919e-01 1.000000033051159809e+00 9.999999124013362328e-01 9.999998427773113541e-01
-7.942399999999986903e+03 9.999999786425709525e-01 1.000000055219099293e+00 9.999999341653268425e-01 9.999998198468906807e-01
-7.940799999999986539e+03 1.000000021143117035e+00 1.000000079036978295e+00 9.999999889502486639e-01 9.999998024326401946e-01
-7.939199999999986176e+03 1.000000033162043334e+00 1.000000118310359953e+00 1.000000043345321776e+00 9.999997916904322937e-01
-7.937599999999985812e+03 1.000000006202099723e+00 1.000000120625815336e+00 1.000000088996501502e+00 9.999997774908198078e-01
-7.935999999999985448e+03 9.999999732558156884e-01 1.000000093990767169e+00 1.000000092603310575e+00 9.999997734171771624e-01
-7.934399999999985084e+03 9.999999086829716166e-01 1.000000053148152990e+00 1.000000056679901883e+00 9.999997733199695871e-01
-7.932799999999984720e+03 9.999998617337647611e-01 1.000000006471008618e+00 1.000000013896897855e+00 9.999997783633540749e-01
-7.931199999999984357e+03 9.999998621691913447e-01 9.999999858452082169e-01 9.999999398384409321e-01 9.999998081827571328e-01
-7.929599999999983993e+03 9.999999099586172058e-01 9.999999766060406747e-01 9.999998539226453431e-01 9.999998597995649607e-01
-7.927999999999983629e+03 9.999999343759352621e-01 1.000000010759552582e+00 9.999998115685639899e-01 9.999999273359236884e-01
-7.926399999999983265e+03 9.999999296479140654e-01 1.000000048216361570e+00 9.999998262192938414e-01 9.999999797290273218e-01
-7.924799999999982901e+03 9.999999157494561253e-01 1.000000061167165111e+00 9.999998908588574320e-01 1.000000006762681304e+00
-7.923199999999982538e+03 9.999998792734996478e-01 1.000000059942231179e+00 9.999999262554030155e-01 1.000000006677561393e+00
-7.921599999999982174e+03 9.999998592119403451e-01 1.000000036581774721e+00 9.999999482754025060e-01 1.000000005363567146e+00
-7.919999999999981810e+03 9.999998671080647661e-01 1.000000012945273964e+00 9.999999464832125540e-01 1.000000032578349796e+00
-7.918399999999981446e+03 9.999999530715063534e-01 9.999999973031803435e-01 9.999999497782485758e-01 1.000000085021603091e+00
-7.916799999999981083e+03 1.000000041542212337e+00 9.999999698169038664e-01 9.999999441032763059e-01 1.000000127174054843e+00
-7.915199999999980719e+03 1.000000048325363711e+00 9.999999703149007324e-01 9.999999450677737878e-01 1.000000127208340972e+00
-7.913599999999980355e+03 9.999999994011246063e-01 9.999999945504195464e-01 9.999999608740813839e-01 1.000000096237420033e+00
-7.911999999999979991e+03 9.999999543965518711e-01 1.000000036799522984e+00 9.999999652892055391e-01 1.000000039251397022e+00
